Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2019,12,SMSUB     ,Projetos,44905100,4500,4500,4500,0,0,0,0
2019,12,SMSUB     ,Atividades,33903000,4800000,0,"61,74","6799938,26","6799938,26","6784581,18","6769781,18"
2019,12,SMSUB     ,Atividades,33903900,49532076,"18341528,48","2854388,24","126485224,72","125669144,08","94414055,21","93725552,94"
2019,12,SMSUB     ,Atividades,33903900,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903900,12528000,"2213711,23","53792,3","10260496,47","10098486,7","8991183,87","8991183,87"
2019,12,SMSUB     ,Atividades,33909200,0,0,0,"103632,9","103632,9","103632,9","103632,9"
2019,12,SMSUB     ,Projetos,44903900,0,0,0,0,0,0,0
2019,12,SMSUB     ,Projetos,44905100,2798302,0,"10847567,76","83120503,64","71436728,1","38264331,28","32189656,45"
2019,12,SMSUB     ,Projetos,44905100,53420130,0,53420130,"7017030,32","7017030,32","5638801,91","5638801,91"
2019,12,SMSUB     ,Projetos,44906100,1000,0,1000,"276104,49","273343,38","273343,38","273343,38"
2019,12,SMSUB     ,Projetos,44909100,5000000,"3905803,24","7865138,37","1603753,28","1094196,76","1082728,24","1082728,24"
2019,12,SMSUB     ,Atividades,33903900,200000,200000,200000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903000,22351309,"1709966,3","3414862,48","60976626,2","60976626,2","49927996,76","49927996,76"
2019,12,SMSUB     ,Atividades,33903900,9253439,"16445122,41","2310124,6","7695091,84","7695091,84","6465764,28","6465764,28"
2019,12,SMSUB     ,Projetos,44905100,1500000,1500000,1500000,"234942,12","234942,07","234942,07","234942,07"
2019,12,SMSUB     ,Projetos,44909200,0,0,0,"151311,59","151311,51","151311,51","151311,51"
2019,12,SMSUB     ,Atividades,33903900,28942847,0,"0,24","51785864,71","51725064,42","45294040,54","45294040,54"
2019,12,SMSUB     ,Atividades,33903900,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44903500,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44904000,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44678300,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,13,SG        ,Projetos,44904000,1000,0,1000,0,0,0,0
2019,13,SG        ,Atividades,33903900,1000,0,1000,0,0,0,0
2019,13,SG        ,Pessoal,31901100,1000,0,1000,0,0,0,0
2019,13,SG        ,Pessoal,31901100,59551904,17419100,0,42132804,"41876521,15","41876521,15","41876521,15"
2019,13,SG        ,Pessoal,31909600,1000000,0,700000,1000000,0,0,0
2019,13,SG        ,Atividades,33503900,879488,64049,64049,815439,"807848,68","549666,99","549666,99"
2019,13,SG        ,Atividades,33504800,240771,17534,17534,223237,"221155,8","149510,75","149510,75"
2019,13,SG        ,Atividades,33901400,120000,108739,18077,1923,1923,1923,1923
2019,13,SG        ,Atividades,33903000,300000,"102303,82","84677,8","134865,38","102350,54","91715,03","91672,04"
2019,13,SG        ,Atividades,33903300,259235,18879,"41338,41","217896,59","217896,59","85637,68","71659,83"
2019,13,SG        ,Atividades,33903600,1000,1000,1000,0,0,0,0
2019,13,SG        ,Atividades,33903900,8406657,997222,"937374,54","7319282,46","7237329,88","6317644,88","6308595,14"
2019,13,SG        ,Atividades,33904100,1000,1000,1000,0,0,0,0
2019,13,SG        ,Auxílios,33904600,4200000,"1183579,15",0,"3016420,85","2968080,13","2968080,13","2968080,13"
2019,13,SG        ,Atividades,33904700,1000,1000,1000,0,0,0,0
2019,13,SG        ,Auxílios,33904900,800000,0,0,800000,"510818,73","510818,73","510818,73"
2019,13,SG        ,Atividades,44905200,1000,0,"3310,48","97580,64","56096,8","52351,8","52351,8"
2019,13,SG        ,Atividades,33903500,302222,"75105,45","173716,55",53400,53400,53400,53400
2019,13,SG        ,Atividades,33903900,309587,0,"42289,57","267297,43","267291,61","212323,29","212323,29"
2019,13,SG        ,Projetos,44904000,1000,0,1000,0,0,0,0
2019,13,SG        ,Atividades,33903000,10000,728,"7795,27","2204,73","1100,6","500,6","500,6"
2019,13,SG        ,Atividades,33904000,1267000,692270,"731103,65","535896,35","497196,35","311967,31","300977,77"
2019,13,SG        ,Atividades,44903900,1000,1000,1000,0,0,0,0
2019,13,SG        ,Atividades,44905200,1000,1000,"9066,87","11330,81","10992,9",10050,10050
2019,13,SG        ,Atividades,33904000,26955649,"1038207,17","3128556,99","25916954,84","25878369,83","19993049,47","19141289,88"
